"covariate,SMD_before,SMD_after,treated_mean_before,control_mean_before,treated_mean_after,control_mean_after"
"age,0.1817094051762415,-0.00024203331523268892,0.03845759358126686,-0.14702919218046762,-0.09174094755086376,-0.09149628672361146"
"income,0.4810133877214428,-0.06669894919289332,0.09684333418727684,-0.37024670208575955,-0.2994120949296985,-0.23634684360204528"
"health,0.24213854706740678,0.04780474285192267,0.05033521371927751,-0.19243912897820534,-0.10292751061893649,-0.1502198122902467"
"smoke,-0.31899553634864697,-0.04958501497203527,-0.06777937239501708,0.2591307838510457,0.16522331557894793,0.2180515747877916"
"exercise,0.060814269870570696,0.04458658499189004,0.012387716213521398,-0.047360111182883684,-0.009347124123995406,-0.05368683368827681"
